person_id,name,gender,abuser_project_count
102757,Mak Wilson,0,1
10279,Adolf Hitler,2,2
102823,Sandy Ward,2,2
1028325,Renate Mannhardt,1,1
1028326,Steffi Stroux,0,1
1028327,Annelore Wied,0,1
102840,Richard deFaut,0,1
1028426,Tim Pilleri,0,1
1028454,Emma Fuhrmann,1,1
1028458,Nicolette Pierini,1,1
1028460,Rio Dewanto,0,1
102852,Andreas Apergis,2,1
102853,Paul Hopkins,2,2
102860,Darleen Carr,1,1
102885,Desmond Tester,0,1
102886,Joyce Barbour,0,1
102888,Matthew Boulton,0,2
102889,S.J. Warmington,0,2
102891,William Dewhurst,2,1
1028979,Jean Aubrey,1,1
102900,Jill Goldman,0,1
102901,Joe E. Tata,2,1
1029034,Leroy Gopal,0,1
102906,Brad Blaisdell,2,2
102928,Thom Sharp,2,2
102932,Army Archerd,2,1
10295,James V. Hart,2,1
10296,Michael Goldenberg,2,2
10297,Matthew McConaughey,2,7
102991,Michael Ciminera,2,2
102992,Richard Gnolfo,2,2
103,Mark Ruffalo,2,7
103013,Wayne Isham,0,1
1030402,Hugo Sélignac,0,1
103041,Robert D. Siegel,2,1
103048,Rafael Primorac,2,2
103049,Bess Meredyth,0,1
1030490,Veronika Ozerova,0,1
1030491,Nikolay Efremov,0,1
1030492,Georgiy Gromov,0,1
1030493,Anna Roudakova,0,1
1030494,Ivan Gromov,0,1
1030512,Dayo Okeniyi,2,1
103055,Luciano Spadoni,0,1
1030590,Kelly McCormick,0,1
1030602,Chad Christ,0,1
103062,Franco Trevisi,0,1
103068,Harry Hayden,2,2
103069,Kenneth Tobey,2,3
1030724,John Ashker,2,1
103079,Ann Robinson,0,1
103084,Annabella Incontrera,1,1
1030849,Debra Stipe,1,1
103089,Ernest Anderson,0,2
1030966,Jeanette Brill,1,3
103111,Giuliano Carnimeo,0,1
1031200,Nicolas Chartier,0,5
1031201,Jared Goldman,0,1
1031260,Gregory M. Walker,2,1
1031280,Virginia Lee Corbin,0,1
1031469,Eddie Perez,2,1
103150,Malcolm Venville,2,1
1031586,Neda Armian,0,1
10316,Theo Angelopoulos,2,1
103160,Eva Grimaldi,1,1
1031624,Sarah Ross,1,1
1031645,Scott J. Brooks,0,1
1031685,Garrett Clayton,2,1
1031686,Meighan Gerachis,0,1
1031711,James Currie,2,1
1031779,Aaron Scotti,2,1
103181,Leonardo Treviglio,2,1
103185,David Clyde,0,2
1031882,Evelyn Selbie,0,1
1031919,Marc Bendavid,0,1
1032,Martin Scorsese,2,8
