imdb_id,moviedb_id
tt0107146,70912
tt0107210,57766
tt0107282,19931
tt0107286,6
tt0107362,9593
tt0107426,1689
tt0107452,215133
tt0107473,10433
tt0107492,41660
tt0107497,2246
tt0107519,128644
tt0107563,11244
tt0107606,41587
tt0107659,9644
tt0107685,41661
tt0107824,40881
tt0107895,77064
tt0107969,7007
tt0107983,2088
tt0107985,21845
tt0108142,29810
tt0108238,11074
tt0108243,281583
tt0108265,10419
tt0108333,10057
tt0108399,319
tt0108451,26333
tt0108505,180802
tt0108521,131079
tt0108550,1587
tt0109033,27524
tt0109040,3049
tt0109047,39683
tt0109287,13962
tt0109303,178
tt0109327,14237
tt0109402,10694
tt0109403,24405
tt0109454,41580
tt0109479,109551
tt0109500,318473
tt0109579,10531
tt0109650,38641
tt0109676,4954
tt0109686,8467
tt0109707,522
tt0109765,26937
tt0109776,299711
tt0109778,84484
tt0109890,2087
tt0109920,41006
tt0109936,12778
tt0110094,160718
tt0110116,13701
tt0110123,12475
tt0110148,628
tt0110157,24767
tt0110167,10660
tt0110197,31643
tt0110216,6280
tt0110307,20333
tt0110353,22317
tt0110365,47504
tt0110366,10897
tt0110367,9587
tt0110413,101
tt0110425,197537
tt0110442,11067
tt0110475,854
tt0110612,10486
tt0110632,241
tt0110649,41588
tt0110725,9624
tt0110803,73109
tt0110891,48791
tt0110907,3586
tt0110912,680
tt0110917,19223
tt0110944,10448
tt0110950,2788
tt0110955,10872
tt0110966,107342
tt0110971,11858
tt0110999,106968
tt0111143,8850
tt0111323,17585
tt0111353,159072
tt0111400,9057
tt0111477,23719
tt0111503,36955
tt0111670,179165
tt0111693,10449
tt0111868,59970
tt0112281,9273
tt0112286,139405
tt0112366,51191
tt0112442,9737
tt0112461,10474
tt0112462,414
tt0112541,5894
tt0112654,94771
tt0112700,322590
tt0112744,27526
tt0112817,922
tt0112818,687
tt0112857,8512
tt0112883,1909
tt0112945,58058
tt0112966,10612
tt0113002,82663
tt0113014,28732
tt0113017,116789
tt0113145,47119
tt0113211,46732
tt0113347,11861
tt0113362,11876
tt0113376,44470
tt0113490,61548
tt0113501,9061
tt0113552,6071
tt0113627,451
tt0113675,272357
tt0113691,28313
tt0113755,40490
tt0113845,11517
tt0113849,41007
tt0113870,8438
tt0113972,2086
tt0114037,82656
tt0114069,6950
tt0114148,10530
tt0114272,35196
tt0114345,10533
tt0114369,807
tt0114375,209892
tt0114478,10149
tt0114534,139408
tt0114558,281
tt0114565,133021
tt0114571,28033
tt0114594,20306
tt0114654,348547
tt0114660,400
tt0114682,9090
tt0114731,71207
tt0114745,31894
tt0114753,40628
tt0114781,3512
tt0114814,629
tt0114846,45926
tt0114885,31357
tt0115495,8744
tt0115509,19042
tt0115528,290521
tt0115530,31546
tt0115535,52263
tt0115571,10547
tt0115580,11112
tt0115632,549
tt0115639,9283
tt0115644,20927
tt0115645,43566
tt0115697,13997
tt0115725,3587
tt0115750,61382
tt0115759,9208
tt0115781,14469
tt0115837,36447
tt0115858,133925
tt0115986,10546
tt0116055,216791
tt0116168,11107
tt0116191,3573
tt0116209,409
tt0116213,9268
tt0116250,8818
tt0116253,2320
tt0116269,47502
tt0116277,9566
tt0116287,10543
tt0116299,135482
tt0116361,11229
tt0116393,142012
tt0116410,31908
tt0116421,9625
tt0116477,10549
tt0116508,36915
tt0116592,45565
tt0116654,9306
tt0116669,7095
tt0116684,47333
tt0116695,9390
tt0116711,384519
tt0116731,9623
tt0116778,11543
tt0116823,34170
tt0116833,63564
tt0116914,461906
tt0116922,638
tt0116977,104619
tt0117003,153879
tt0117096,158750
tt0117283,23570
tt0117318,1630
tt0117351,40089
tt0117364,36758
tt0117433,114936
tt0117451,104196
tt0117500,9802
tt0117582,47199
tt0117705,2300
tt0117737,14553
tt0117738,12821
tt0117742,292044
tt0117913,1645
tt0118044,48862
tt0118531,6072
tt0118571,9772
tt0118636,9445
tt0118655,816
tt0118670,71456
tt0118686,37613
tt0118749,4995
tt0118768,9956
tt0118789,9464
tt0118870,119213
tt0118880,1701
tt0118885,207644
tt0118897,134048
tt0118993,61183
tt0119008,9366
tt0119013,9405
tt0119025,150329
tt0119116,18
tt0119123,14289
tt0119174,2649
tt0119210,10871
tt0119215,14817
tt0119244,281556
tt0119318,274146
tt0119327,32332
tt0119423,70506
tt0119429,100196
tt0119461,44232
tt0119488,2118
tt0119520,108124
tt0119521,43911
tt0119528,1624
tt0119555,166897
tt0119576,18167
tt0119581,55139
tt0119592,9770
tt0119631,258317
tt0119665,30950
tt0119668,8197
tt0119692,126152
tt0119695,9416
tt0119731,9415
tt0119822,2898
tt0119832,12616
tt0119903,55670
tt0119937,26306
tt0119951,9403
tt0119978,11975
tt0120004,11015
tt0120039,125294
tt0120070,2042
tt0120107,38153
tt0120157,9425
tt0120184,10153
tt0120366,31465
tt0120382,37165
tt0120399,10155
tt0120483,9414
tt0120531,58680
tt0120533,9466
tt0120537,301967
tt0120570,30983
tt0120577,3682
tt0120586,73
tt0120587,8916
tt0120601,492
tt0120609,9448
tt0120611,36647
tt0120632,795
tt0120660,9798
tt0120669,1878
tt0120678,30712
tt0120681,768
tt0120696,11258
tt0120737,120
tt0120738,2157
tt0120744,9313
tt0120757,16379
tt0120768,9631
tt0120786,6058
tt0120800,18937
tt0120812,2109
tt0120815,857
tt0120823,28134
tt0120824,6440
tt0120832,8688
tt0120863,8741
tt0120873,11808
tt0120879,1808
tt0120885,586
tt0120889,12159
tt0120890,617
tt0120903,36657
tt0120906,16148
tt0121164,3933
tt0121744,32215
tt0124179,32456
tt0124198,10029
tt0124879,22796
tt0124901,9812
tt0125664,1850
tt0125931,425984
tt0126604,11855
tt0127489,235776
tt0127901,373853
tt0128037,79679
tt0128278,12117
tt0128445,11545
tt0130179,55679
tt0130192,43913
tt0131502,1711
tt0131656,292552
tt0132164,123455
tt0132347,9824
tt0133152,869
tt0133385,9564
tt0133412,18621
tt0133985,17263
tt0133987,293357
tt0134273,8224
tt0137146,291539
tt0137523,550
tt0138304,2900
tt0138451,311532
tt0139056,278977
tt0139606,68551
tt0139630,185392
tt0140627,253077
tt0142192,9455
tt0142231,125582
tt0142688,622
tt0144039,30922
tt0145660,817
tt0146336,9877
tt0146838,9563
tt0147995,76790
tt0149723,44297
tt0150176,25896
tt0150216,32274
tt0151137,10047
tt0153464,47724
tt0153882,64920
tt0155726,370777
tt0155776,18892
tt0156240,336542
tt0157079,144554
tt0157697,11771
tt0157992,219152
tt0158049,61679
tt0158371,9684
tt0158409,16365
tt0159365,2289
tt0159404,219305
tt0159446,317551
tt0160009,11398
tt0160127,4327
tt0160399,4965
tt0161088,281622
tt0162661,2668
tt0162984,180907
tt0163016,239087
tt0163026,252281
tt0163126,386149
tt0163579,2162
tt0163988,8649
tt0164003,31932
tt0164018,68124
tt0164052,9383
tt0164961,9597
tt0165361,18808
tt0165384,41160
tt0165477,158431
tt0165710,9781
tt0165832,20312
tt0165846,67296
tt0165874,17198
tt0165928,44735
tt0166286,384156
tt0167117,290672
tt0167250,177085
tt0167260,122
tt0167261,121
tt0167360,61473
tt0167423,35118
tt0167565,4548
tt0167762,292276
tt0167837,123004
tt0167880,301374
